"cohort_year","customer_status","num_customers","total_customers","status_percentage"
"2015","Active","237","2825","8.400"
"2015","Churned","2588","2825","91.600"
"2016","Active","311","3397","9.200"
"2016","Churned","3086","3397","90.800"
"2017","Active","385","4068","9.500"
"2017","Churned","3683","4068","90.500"
"2018","Active","704","7446","9.500"
"2018","Churned","6742","7446","90.500"
"2019","Active","687","7755","8.900"
"2019","Churned","7068","7755","91.100"
"2020","Active","283","3031","9.300"
"2020","Churned","2748","3031","90.700"
"2021","Active","442","4663","9.500"
"2021","Churned","4221","4663","90.500"
"2022","Active","937","9010","10.400"
"2022","Churned","8073","9010","89.600"
"2023","Active","455","4718","9.600"
"2023","Churned","4263","4718","90.400"
